id,group_id,course_code,is_mandatory,notes
3984,157,MGAB02H3,1,
3985,157,MGHA12H3,1,
3986,157,MGMA01H3,1,
3987,157,MGTA38H3,1,
3988,157,MATA29H3,1,
3989,157,MATA30H3,1,
3990,157,MATA31H3,1,
3991,157,MATA32H3,1,
3992,157,MATA33H3,1,
3993,157,MATA35H3,1,
3994,157,MATA36H3,1,
3995,157,MATA37H3,1,
3996,157,COPB11H3,1,
3997,157,COPB12H3,1,
3998,157,COPB10Y3,1,
3999,158,MGEA02H3,1,
4000,158,MGEA06H3,1,
4001,158,MATA34H3,1,
4002,158,MGAB01H3,1,
4003,158,MGAB02H3,1,
4004,158,MGHA12H3,1,
4005,158,MGMA01H3,1,
4006,158,MGTA38H3,1,
4007,158,MATA29H3,1,
4008,158,MATA30H3,1,
4009,158,MATA31H3,1,
4010,158,MATA32H3,1,
4011,158,MATA33H3,1,
4012,158,MATA35H3,1,
4013,158,MATA36H3,1,
4014,158,MATA37H3,1,
4015,158,COPB11H3,1,
4016,158,COPB12H3,1,
4017,158,COPB10Y3,1,
4018,159,MGEA02H3,1,
4019,159,MGEA06H3,1,
4020,159,CSCA08H3,1,
4021,159,CSCA48H3,1,
4022,159,MATA34H3,1,
4023,159,MGHA12H3,1,
4024,159,MGMA01H3,1,
4025,159,MGTA38H3,1,
4026,159,MATA29H3,1,
4027,159,MATA30H3,1,
4028,159,MATA31H3,1,
4029,159,MATA32H3,1,
4030,159,MATA33H3,1,
4031,159,MATA35H3,1,
4032,159,MATA36H3,1,
4033,159,MATA37H3,1,
4034,159,MGAB01H3,1,
4035,159,MGAB02H3,1,
4036,159,COPB11H3,1,
4037,159,COPB12H3,1,
4038,159,COPB10Y3,1,
4039,160,MGEA02H3,1,
4040,160,MGEA06H3,1,
4041,160,MATA34H3,1,
4042,160,MGAB01H3,1,
4043,160,MGAB02H3,1,
4044,160,MGIA01H3,1,
4045,160,MGIA12H3,1,
4046,160,MGIB02H3,1,
4047,160,MGTA38H3,1,
4048,160,MATA29H3,1,
4049,160,MATA30H3,1,
4050,160,MATA31H3,1,
4051,160,MATA32H3,1,
4052,160,MATA33H3,1,
4053,160,MATA35H3,1,
4054,160,MATA36H3,1,
4055,160,MATA37H3,1,
4056,160,MGIB01H3,1,
4057,160,MGAB03H3,1,
4058,160,MGFB10H3,1,
4059,160,MGIC01H3,1,
4060,160,MGIC02H3,1,
4061,160,MGOC10H3,1,
4062,160,MGFC10H3,1,
4063,160,MGOC20H3,1,
4064,160,MGID40H3,1,
4065,160,MGID79H3,1,
4066,160,MGEB02H3,1,
4067,160,MGEB06H3,1,
4068,160,MGEB11H3,1,
4069,160,MGEB12H3,1,
4070,160,GASB30H3,1,
4071,160,ANTA02H3,1,
4072,160,ANTB20H3,1,
4073,160,GGRA02H3,1,
4074,160,IDSB01H3,1,
4075,160,IDSC12H3,1,
4076,160,POLB80H3,1,
4077,160,POLB81H3,1,
4078,160,MGMA01H3,1,
4079,160,COPB13H3,1,
4080,160,COPB14H3,1,
4081,160,COPB10Y3,1,
4082,161,MGEA02H3,1,
4083,161,MGEA06H3,1,
4084,161,MATA34H3,1,
4085,161,MGAB01H3,1,
4086,161,MGAB02H3,1,
4087,161,MGHA12H3,1,
4088,161,MGMA01H3,1,
4089,161,MGTA38H3,1,
4090,161,MATA29H3,1,
4091,161,MATA30H3,1,
4092,161,MATA31H3,1,
4093,161,MATA32H3,1,
