course_code,course_code_prefix,offering_code,course_name,course_details,credits,prerequisites,corequisites,exclusions,breadth_requirements,course_experience,note,course_link
MGED02,MGE,D02,Advanced Microeconomic Theory,"An upper-level extension of the ideas studied in MGEC02H3. The course offers a more sophisticated treatment of such topics as equilibrium, welfare economics, risk and uncertainty, strategic and repeated interactions, agency problems, and screening and signalling problems. Enrolment is limited to students registered in programs requiring this course.",0.5,MGEB12H3and MGEC02H3,,ECO326H1,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGED02H3
MGED06,MGE,D06,Advanced Macroeconomic Theory,"This course will review recent developments in macroeconomics, including new classical and new Keynesian theories of inflation, unemployment and business cycles. Enrolment is limited to students registered in programs requiring this course.",0.5,MGEB12H3and MGEC06H3,,ECO325H1,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGED06H3
MGED11,MGE,D11,Theory and Practice of Regression Analysis,"This is an advanced course building on MGEC11H3. Students will master regression theory, hypothesis and diagnostic tests, and assessment of econometric results. Treatment of special statistical problems will be discussed. Intensive computer-based assignments will provide experience in estimating and interpreting regressions, preparing students for MGED50H3. Enrolment is limited to students registered in programs requiring this course.",0.5,MGEB02H3and MGEB06H3and MGEB11H3and MGEB12H3and MGEC11H3,,ECO475H1,Quantitative Reasoning,,,https://ttb.utoronto.ca/cp/MGED11H3
MGED25,MGE,D25,Advanced Special Topics in Economics,"This course covers more advanced special topics an area of economics. That is, the topics covered will be more advanced than those covered by a C-level special topics course and thus have at least one specified C-level course as a listed prerequisite. The specific topics will vary from year to year. This course will provide students with an opportunity to explore a range of topics through the application of different economic methodologies and analyses. It will highlight current faculty research expertise and provide an opportunity to present material not covered in our existing course offerings in greater detail.",0.5,At least 0.5 credit at the C-level in MGE courses,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGED25H3
MGED26,MGE,D26,Advanced Special Topics in Economics,"This course covers more advanced special topics an area of economics. That is, the topics covered will be more advanced than those covered by a C-level special topics course and thus have at least one specified C-level course as a listed prerequisite. The specific topics will vary from year to year. This course will provide students with an opportunity to explore a range of topics through the application of different economic methodologies and analyses. It will highlight current faculty research expertise and provide an opportunity to present material not covered in our existing course offerings in greater detail.",0.5,At least 0.5 credit at the C-level in MGE courses,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGED26H3
MGED43,MGE,D43,Organization Strategies,"Explores the issue of outsourcing, and broadly defines which activities should a firm do ""in-house"" and which should it take outside? Using a combination of cases and economic analysis, it develops a framework for determining the ""best"" firm organization.",0.5,MGEB02H3and [MGEC40H3or MGEC41H3],,RSM481H1,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGED43H3
MGED50,MGE,D50,Workshop in Economic Research,"This course introduces to students the techniques used by economists to define research problems and to do research. Students will choose a research problem, write a paper on their topic and present their ongoing work to the class.",0.5,MGEB02H3and MGEC02H3and MGEB06H3and MGEC06H3and MGEB11H3and MGEB12H3and MGEC11H3. This course should be taken among the last 5.0 credits of a twenty-credit degree.,MGED11H3,ECO499H1,Social and Behavioural Sciences,University-Based Experience,,https://ttb.utoronto.ca/cp/MGED50H3
MGED63,MGE,D63,"Financial Crises: Causes, Consequences and Policy Implications","This course studies the causes, consequences and policy implications of recent financial crises. It studies key theoretical concepts of international finance such as exchange-rate regimes, currency boards, common currency, banking and currency crises. The course will describe and analyze several major episodes of financial crises, such as East Asia, Mexico and Russia in the 1990s, Argentina in the early 2000s, the U.S. and Greece in the late 2000s, and others in recent years.",0.5,MGEC61H3,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGED63H3
MGED70,MGE,D70,Financial Econometrics,"Financial econometrics applies statistical techniques to analyze the financial data in order to solve problems in Finance. In doing so, this course will focus on four major topics: Forecasting returns, Modeling Univariate and Multivariate Volatility, High Frequency and market microstructure, Simulation Methods and the application to risk management.",0.5,MGEC11H3and [MGEC72H3or MGFC10H3],,ECO462H`,Quantitative Reasoning,,,https://ttb.utoronto.ca/cp/MGED70H3
MGED90,MGE,D90,Supervised Reading,"These courses will normally be made available only to upper-level students whose interests are not covered by other courses and whose performance in Economics courses has been well above average. Not all faculty will be available for these courses in any single session.Note: Students must obtain consent from the Economic, Academic Director, the supervising instructor and the Department of Management before registering for this course.",0.5,,,,,,,https://ttb.utoronto.ca/cp/MGED90H3
MGED91,MGE,D91,Supervised Reading,"These courses will normally be made available only to upper-level students whose interests are not covered by other courses and whose performance in Economics courses has been well above average. Not all faculty will be available for these courses in any single session.Note: Students must obtain consent from the Economic, Academic Director, the supervising instructor and the Department of Management before registering for this course.",0.5,,,,,,,https://ttb.utoronto.ca/cp/MGED91H3
MGFB10,MGF,B10,Principles of Finance,"An introduction to basic concepts and analytical tools in financial management. Building on the fundamental concept of time value of money, the course will examine stock and bond valuations and capital budgeting under certainty. Also covered are risk-return trade-off, financial planning and forecasting, and long-term financing decisions.",0.5,MGEB11H3and MGAB01H3and [MGTA38H3or (MGTA35H3) or (MGTA36H3)],,"MGT338H5, RSM332H1, MGM230H5, RSM230H1",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFB10H3
MGFC10,MGF,C10,Intermediate Finance,"This course covers mainstream finance topics. Besides a deeper examination of certain topics already covered in MGFB10H3, the course will investigate additional subjects such as working capital management, capital budgeting under uncertainty, cost of capital, capital structure, dividend policy, leasing, mergers and acquisitions, and international financial management.",0.5,MGFB10H3,,"MGT339H5, RSM333H1, MGM332H5",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFC10H3
MGFC20,MGF,C20,Personal Financial Management,"This course covers goal setting, personal financial statements, debt and credit management, risk management, investing in financial markets, real estate appraisal and mortgage financing, tax saving strategies, retirement and estate planning. The course will benefit students in managing their personal finances, and in their future careers with financial institutions.",0.5,MGFB10H3,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFC20H3
MGFC30,MGF,C30,Introduction to Derivatives Markets,"This course introduces students to the fundamentals of derivatives markets covering futures, swaps, options and other financial derivative securities. Detailed descriptions of, and basic valuation techniques for popular derivative securities are provided. As each type of derivative security is introduced, its applications in investments and general risk management will be discussed.",0.5,,,"MGT438H5, RSM435H1",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFC30H3
MGFC35,MGF,C35,Investments,"This course deals with fundamental elements of investments. Basic concepts and techniques are introduced for various topics such as risk and return characteristics, optimal portfolio construction, security analysis, investments in stocks, bonds and derivative securities, and portfolio performance measurements.",0.5,,,"(MGFD10H3), MGT330H5, RSM330H1",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFC35H3
MGFC45,MGF,C45,Portfolio Management: Theory and Practice,"This course introduces students to both the theoretical and practical elements of portfolio management. On the theoretical side, students learn the investment theories and analytic models applicable to portfolio management. Students gain fundamental knowledge of portfolio construction, optimization, and performance attribution. The hands-on component of the course aims to provide students with a unique experiential learning opportunity, through participation in the different stages of the portfolio management process. The investment exercises challenge students to apply and adapt to different risk and return scenarios, time horizons, legal and other unique investment constraints.",0.5,,,,Quantitative Reasoning,,,https://ttb.utoronto.ca/cp/MGFC45H3
MGFC50,MGF,C50,International Financial Management,"This course provides students with a framework for making financial decisions in an international context. It discusses foreign exchange markets, international portfolio investment and international corporate finance. Next to covering the relevant theories, students also get the opportunity to apply their knowledge to real world issues by practicing case studies.",0.5,MGFC10H3,,"MGT439H5, RSM437H1",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFC50H3
MGFC60,MGF,C60,Financial Statement Analysis and Security Valuation,This course introduces the tools and skills required to perform a comprehensive financial statement analysis from a user perspective. Students will learn how to integrate the concepts and principles in accounting and finance to analyze the financial statements and to utilize that information in earnings-based security valuation.,0.5,MGFC10H3,,RSM429H1,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFC60H3
