group_id,program_code,group_type,min_courses,min_credits,path_id,combined_group_id,combined_min_credits,category,notes
53,SCMAJ1150,ALL,,4.0,,,,Required,
54,SCMAJ1620,ALL,,4.0,,,,Required,
55,SCMAJ0133,ALL,,4.0,,,,Required,
56,SCMAJ1645,ALL,,,,,,Required,
57,SCMAJ0361,ALL,,9.0,,,,Required,
58,SCMAJ1076,ALL,,,,,,Required,
59,SCMAJ2735,ALL,,,,,,Required,
60,SCMAJ17806,ALL,,,,,,Required,
61,SCMAJ1909,ALL,,7.5,,,,Required,
62,SCMAJ2156,ALL,,8.0,,,,Required,
63,SCMAJGAS,ALL,,7.0,,,,Required,
64,SCMAJ2086G,ALL,,,,,,Required,
65,SCMAJ0652,ALL,,7.0,,,,Required,
66,SCMAJ0215,ALL,,4.0,,,,Required,
67,SCMAJ1666H,ALL,,,,,,Required,
68,SCMAJ2540,ALL,,,,,,Required,
69,SCMAJ0506,ALL,,8.0,,,,Required,
70,SCMAJ1165,ALL,,8.5,,,,Required,
71,SCMAJJSS2,ALL,,8.0,,,,Required,
72,SCMAJMSS2,ALL,,8.0,,,,Required,
73,SCMAJ1160M,ALL,,4.0,,,,Required,
74,SCMAJ0220,ALL,,4.0,,,,Required,
75,SCMAJ15912,ALL,,8.0,,,,Required,
76,SCMAJ1472,ALL,,8.5,,,,Required,
77,SCMAJ0231,ALL,,7.0,,,,Required,
78,SCMAJ1666P,ALL,,8.0,,,,Required,
79,SCMAJ2010,ALL,,,,,,Required,
80,SCMAJ0272B,ALL,,,,,,Required,
81,SCMAJ1060,ALL,,4.0,,,,Required,
82,SCMAJ2015,ALL,,8.0,,,,Required,
83,SCMAJ2086H,ALL,,,,,,Required,
84,SCMAJ1160,ALL,,4.0,,,,Required,
85,SCMAJ2030,ALL,,8.0,,,,Required,
86,SCMAJPUBP,ALL,,8.0,,,,Required,
87,SCMAJ1780,ALL,,,,,,Required,
88,SCMAJ1013,ALL,,,,,,Required,
89,SCMAJ2289,ALL,,,,,,Required,
90,SCMAJ1126,ALL,,7.5,,,,Required,
91,SCMAJ2150,ALL,,8.0,,,,Required,
92,SCMAJ0571G,ALL,,7.0,,,,Required,
93,SCMINAFS,ALL,,4.0,,,,Required,
94,SCMINAGS,ALL,,,,,,Required,
95,SCMIN1775,ALL,,,,,,Required,
96,SCMIN1078,ALL,,4.5,,,,Required,
97,SCMIN2295,ALL,,4.0,,,,Required,
98,SCMIN0616,ALL,,,,,,Required,
99,SCMIN1423,ALL,,5.0,,,,Required,
100,SCMIN1030A,ALL,,4.0,,,,Required,
101,SCMIN0241,ALL,,4.0,,,,Required,
102,SCMIN1810,ALL,,,,,,Required,
103,SCMIN2049,ALL,,4.0,,,,Required,
104,SCMIN1688,ALL,,,,,,Required,
105,SCMIN1620,ALL,,4.0,,,,Required,
106,SCMIN1017,ALL,,,,,,Required,
107,SCMIN1015,ALL,,,,,,Required,
108,SCMIN0133,ALL,,,,,,Required,
109,SCMIN0226,ALL,,,,,,Required,
110,SCMIN0180,ALL,,4.0,,,,Required,
111,SCMIN1076,ALL,,,,,,Required,
112,SCMIN1909,ALL,,,,,,Required,
113,SCMIN0580,ALL,,4.0,,,,Required,
114,SCMIN2156,ALL,,4.0,,,,Required,
115,SCMIN1800,ALL,,4.0,,,,Required,
116,SCMINGAS,ALL,,4.0,,,,Required,
117,SCMIN0134,ALL,,4.0,,,,Required,
118,SCMIN2088,ALL,,,,,,Required,
119,SCMIN1666H,ALL,,,,,,Required,
120,SCMIN2540A,ALL,,,,,,Required,
121,SCMIN0506,ALL,,4.0,,,,Required,
122,SCMINMDS,ALL,,4.0,,,,Required,
123,SCMIN1591,ALL,,,,,,Required,
124,SCMIN1077,ALL,,4.0,,,,Required,
125,SCMIN0231,ALL,,4.0,,,,Required,
126,SCMIN2015,ALL,,,,,,Required,
127,SCMIN1160,ALL,,4.0,,,,Required,
128,SCMIN2030,ALL,,4.0,,,,Required,
129,SCMIN1013,ALL,,,,,,Required,
130,SCMIN2289,ALL,,,,,,Required,
131,SCMIN1126,ALL,,4.5,,,,Required,
132,SCMIN2150,ALL,,4.0,,,,Required,
133,SCMIN1811,ALL,,,,,,Required,
134,SCMIN0571,ALL,,,,,,Required,
135,SCSPE1376C,ALL,,4.0,,,,Required,
136,SCSPE0510C,ALL,,4.0,,,,Required,
137,SCSPE0805C,ALL,,4.0,,,,Required,
138,SCSPE0455C,ALL,,4.0,,,,Required,
139,SCSPE0795C,ALL,,4.0,,,,Required,
140,SCSPE1150C,ALL,,4.0,,,,Required,
141,SCSPE01332,ALL,,4.0,,,,Required,
142,SCSPE1645C,ALL,,4.0,,,,Required,
143,SCSPE0361C,ALL,,4.0,,,,Required,
144,SCSPE0350D,ALL,,4.0,,,,Required,
145,SCSPE1076C,ALL,,4.0,,,,Required,
146,SCSPE1780M,ALL,,4.0,,,,Required,
147,SCSPE2156C,ALL,,4.0,,,,Required,
148,SCSPE0371C,ALL,,4.0,,,,Required,
149,SCSPE0652C,ALL,,4.0,,,,Required,
150,SCSPE0215C,ALL,,4.0,,,,Required,
151,SCSPE1030M,ALL,,4.0,,,,Required,
152,SCSPE2540,ALL,,4.0,,,,Required,
