exclusion_id,course_code,excluded_course,note
977,MGEC93H3,MGEC62H3,
991,MGFD25H3,CSCA20H3,
997,MGHB02H3,MGIB02H3,
998,MGHC02H3,MGIC02H3,
999,MGIA01H3,MGMA01H3,
1000,MGIB01H3,MGMB01H3,
1001,MGIC01H3,MGSC01H3,
1002,MGIC02H3,MGHC02H3,
1003,MGID79H3,MGSD01H3,
1004,MGMA01H3,MGIA01H3,
1005,MGMB01H3,MGIB01H3,
1009,MGMD02H3,PSYC10H3,
1010,MGMD19H3,MGMD21H3,
1015,MGSB01H3,MGAB01H3,
1017,MGSC01H3,MGIC01H3,
1018,MGSC01H3,VPAC13H3,
1020,MGSC14H3,PHLB06H3,
1023,MGSD01H3,MGID79H3,
1025,MGSD55H3,MGSD15H3,
1026,MGSD55H3,MGSD91H3,
1028,MGTC28H3,CSCA20H3,
1048,MUZC20H3,MDSC85H3,
1069,NROD61H3,NROD60H3,
1070,NROD61H3,NROC60H3,
1071,PHLB18H3,PHLA10H3,
1072,PHLB18H3,PHLA11H3,
1078,PHLC31H3,PHLB31H3,
1079,PHLC32H3,PHLB31H3,
1084,PHLC51H3,MATC09H3,
1091,PHLD87H3,PHLC95H3,
1093,PHYA10H3,PHYA11H3,
1094,PHYA11H3,PHYA10H3,
1095,PHYA21H3,PHYA22H3,
1096,PHYA22H3,PHYA21H3,
1110,PHYD02Y3,PHYD01H3,
1121,PMDB33H3,BIOB33H3,
1122,POLB30H3,PHLB11H3,
1123,POLB30H3,PHLB11H3,
1124,POLB30H3,POLB30H3,
1125,POLB30H3,PHLB11H3,
1126,POLB30H3,POLB30H3,
1127,POLB40H3,SOCB35H3,
1128,POLB40H3,STAB22H3,
1129,POLB40H3,STAB23H3,
1133,POLB72H3,PHLB17H3,
1142,POLC30H3,POLC32H3,
1143,POLC30H3,POLC36H3,
1164,POLD90H3,IDSD90H3,
1170,PPGD64H3,PPGC67H3,
1180,PSYB51H3,NROC64H3,
1183,PSYB64H3,NROC61H3,
1186,PSYB90H3,LINB98H3,
1189,PSYC09H3,LINC29H3,
1190,PSYC09H3,MGEC11H3,
1191,PSYC10H3,MGMD02H3,
1199,PSYC27H3,PSYB55H3,
1200,PSYC27H3,PSYB64H3,
1210,PSYC53H3,PSYB57H3,
1214,PSYC75H3,PSYC08H3,
1217,PSYD10H3,PSYD15H3,
1218,PSYD13H3,PSYD15H3,
1219,PSYD14H3,PSYD15H3,
1220,PSYD14H3,PSYC08H3,
1222,PSYD16H3,PSYC12H3,
1223,PSYD16H3,PSYC71H3,
1224,PSYD17H3,PSYC13H3,
1225,PSYD17H3,PSYC57H3,
1229,PSYD30H3,PSYC30H3,
1231,PSYD31H3,PSYD33H3,
1235,PSYD51H3,PSYD54H3,
1236,PSYD54H3,PSYD50H3,
